CoronaDataObject{Province_State='Tennessee', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=586802.0, Deaths=6907.0, Recovered=508914.0, Active=70981.0, Total_Test_Results=5644058.0}
CoronaDataObject{Province_State='Texas', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=1782956.0, Deaths=28359.0, Recovered=1435164.0, Active=316178.0, Total_Test_Results=1.384879E7}
CoronaDataObject{Province_State='Utah', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=276612.0, Deaths=1269.0, Recovered=224439.0, Active=50904.0, Total_Test_Results=2245303.0}
CoronaDataObject{Province_State='Vermont', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=7412.0, Deaths=136.0, Recovered=4959.0, Active=2317.0, Total_Test_Results=697705.0}
CoronaDataObject{Province_State='Virgin Islands', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=2036.0, Deaths=23.0, Recovered=1901.0, Active=112.0, Total_Test_Results=36212.0}
CoronaDataObject{Province_State='Virginia', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=354766.0, Deaths=5081.0, Recovered=30964.0, Active=318721.0, Total_Test_Results=4291320.0}
CoronaDataObject{Province_State='Washington', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=246752.0, Deaths=3461.0, Recovered=0.0, Active=243291.0, Total_Test_Results=3836820.0}
CoronaDataObject{Province_State='West Virginia', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=87820.0, Deaths=1361.0, Recovered=60316.0, Active=26143.0, Total_Test_Results=1535487.0}
CoronaDataObject{Province_State='Wisconsin', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=522523.0, Deaths=5254.0, Recovered=450358.0, Active=66911.0, Total_Test_Results=5380828.0}
CoronaDataObject{Province_State='Wyoming', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=44409.0, Deaths=438.0, Recovered=42570.0, Active=1401.0, Total_Test_Results=501784.0}
